phiNames, phiPreds, phi0, n_3, n_1, n_2, y_4, y_2, y_1, y_3, y_0, x_3, x_1, x_2, r_2, r_0, r_1, p_2, p_0, p_1, n_0, x_0, gen_bad, n, x, output, incorrect
"[27.53798832554484, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 27.53798832554484, 27.53798832554484, 27.53798832554484, 1, 1, 1296, 1296, 36, 1, 1, 0, True, True, False, 2, 6, True, 2, 6, 27.53798832554484, True
"[12243.6223788995, 7.9696763805326825]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 12243.6223788995, 12243.6223788995, 12243.6223788995, 7.9696763805326825, 1, 16777216, 16777216, 4096, 1, 1, 1, True, True, True, 6, 8, True, 6, 8, 12243.6223788995, True
"[5467066.730633418, 705.824817372594]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 5467066.730633418, 5467066.730633418, 5467066.730633418, 705.824817372594, 1, 100000000, 100000000, 10000, 1, 1, 1, True, True, True, 7, 10, True, 7, 10, 5467066.730633418, True
"[4096, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 4096, 4096, 4096, 1, 1, 16777216, 16777216, 4096, 1, 1, 0, True, True, False, 4, 8, False, 4, 8, 4096, False
"[483.0846093240609, 0.7093690330490133]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 483.0846093240609, 483.0846093240609, 483.0846093240609, 0.7093690330490133, 1, 5764801, 5764801, 2401, 1, 1, 0, True, True, False, 5, 7, True, 5, 7, 483.0846093240609, True
"[823543, 343]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 823543, 823543, 823543, 343, 1, 5764801, 5764801, 2401, 1, 1, 1, True, True, True, 7, 7, False, 7, 7, 823543, False
"[4096, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 4096, 4096, 4096, 1, 1, 16777216, 16777216, 4096, 1, 1, 0, True, True, False, 4, 8, False, 4, 8, 4096, False
"[384.37545274893336, 4.177875942311271]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 384.37545274893336, 384.37545274893336, 384.37545274893336, 4.177875942311271, 1, 65536, 65536, 256, 1, 1, 1, True, True, True, 7, 4, True, 7, 4, 384.37545274893336, True
"[379.2927306187148, 1]", "[True]", <phi.Phi object at 0x10bab9080>, 0, 0, 1, 379.2927306187148, 379.2927306187148, 379.2927306187148, 1, 1, 390625, 390625, 625, 1, 1, 0, True, True, False, 4, 5, True, 4, 5, 379.2927306187148, True
"[27, 3]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 27, 27, 27, 3, 1, 81, 81, 9, 1, 1, 1, True, True, True, 3, 3, False, 3, 3, 27, False
"[354.36199965261955, 2.7288459119165642]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 354.36199965261955, 354.36199965261955, 354.36199965261955, 2.7288459119165642, 1, 390625, 390625, 625, 1, 1, 0, True, True, False, 5, 5, True, 5, 5, 354.36199965261955, True
"[4782969, 729]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 4782969, 4782969, 4782969, 729, 1, 43046721, 43046721, 6561, 1, 1, 1, True, True, True, 7, 9, False, 7, 9, 4782969, False
"[25, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 25, 25, 25, 1, 1, 625, 625, 25, 1, 1, 0, True, True, False, 2, 5, False, 2, 5, 25, False
"[1.75146809090529, 1]", "[True]", <phi.Phi object at 0x109d8a2b0>, 0, 0, 1, 1.75146809090529, 1.75146809090529, 1.75146809090529, 1, 1, 49, 49, 7, 1, 1, None, True, True, None, 1, 7, True, 1, 7, 1.75146809090529, True
